Numero billet;Commande;Reservation;Date reservation;Heure reservation;Cle spectacle;Spectacle;Cle representation;Representation;Date representation;Heure representation;Date fin representation;Heure fin representation;Prix;Date acces;Heure acces;Tarif;Type de client;Type de produit;Serie;Etage;Filiere de vente;Nom;Prenom;Email;Adresse;Code postal;Pays;Age;Sexe
1491935;;838787;0002-06-15;;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;0011-12-15;2000-01-01 20:00:00 UTC;0011-12-15;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491936;;838785;0002-06-15;;538;887;3588;887;0016-12-15;2000-01-01 20:00:00 UTC;0016-12-15;2000-01-01 21:15:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491937;;838788;0002-06-15;;552;PLATONOV;3694;PLATONOV;0010-03-16;2000-01-01 20:00:00 UTC;0010-03-16;2000-01-01 22:00:00 UTC;15.0;;;Abonnement mouettes;0;Abonnement;Serie unique;;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491938;;838783;0002-06-15;;551;MORT D&#39;UN COMMIS VOYAGEUR;3679;MORT D&#39;UN COMMIS VOYAGEUR;0016-03-16;2000-01-01 20:00:00 UTC;0016-03-16;2000-01-01 22:00:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491939;;838789;0002-06-15;;554;YO MATE A PINOCHET;3714;YO MATE A PINOCHET;0005-04-16;2000-01-01 20:00:00 UTC;0005-04-16;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491940;;838790;0002-06-15;;557;ORESTEA;3738;ORESTEA;0001-06-16;2000-01-01 20:00:00 UTC;0001-06-16;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;DEBLOCK;Vassilii;Vassilii.DEBLOCK@mail.fr;85 rue Furcifer pardalis;69004;France;81;
1491941;346848;838795;0002-06-15;;538;887;3589;887;0017-12-15;2000-01-01 20:00:00 UTC;0017-12-15;2000-01-01 21:15:00 UTC;32.0;;;Proches abonn??s;0;Place individuelle;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491942;346848;838795;0002-06-15;;538;887;3589;887;0017-12-15;2000-01-01 20:00:00 UTC;0017-12-15;2000-01-01 21:15:00 UTC;32.0;;;Proches abonn??s;0;Place individuelle;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491943;;838767;0002-06-15;;549;COMMENT VOUS RACONTEZ LA PARTIE?;3575;COMMENT VOUS RACONTEZ LA PARTIE?;0001-12-15;2000-01-01 20:00:00 UTC;0001-12-15;2000-01-01 21:30:00 UTC;27.0;0001-12-15;2000-01-01 19:52:36 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491944;;838766;0002-06-15;;538;887;3588;887;0016-12-15;2000-01-01 20:00:00 UTC;0016-12-15;2000-01-01 21:15:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491945;;838765;0002-06-15;;539;Sauterelles;3605;Sauterelles;0005-01-16;2000-01-01 20:00:00 UTC;0005-01-16;2000-01-01 22:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491946;;838764;0002-06-15;;551;MORT D&#39;UN COMMIS VOYAGEUR;3667;MORT D&#39;UN COMMIS VOYAGEUR;0001-03-16;2000-01-01 20:00:00 UTC;0001-03-16;2000-01-01 22:00:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491947;;838768;0002-06-15;;554;YO MATE A PINOCHET;3708;YO MATE A PINOCHET;0030-03-16;2000-01-01 20:00:00 UTC;0030-03-16;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491948;;838756;0002-06-15;;549;COMMENT VOUS RACONTEZ LA PARTIE?;3575;COMMENT VOUS RACONTEZ LA PARTIE?;0001-12-15;2000-01-01 20:00:00 UTC;0001-12-15;2000-01-01 21:30:00 UTC;27.0;0001-12-15;2000-01-01 19:52:36 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491949;;838750;0002-06-15;;538;887;3588;887;0016-12-15;2000-01-01 20:00:00 UTC;0016-12-15;2000-01-01 21:15:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491950;;838754;0002-06-15;;539;Sauterelles;3605;Sauterelles;0005-01-16;2000-01-01 20:00:00 UTC;0005-01-16;2000-01-01 22:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491951;;838746;0002-06-15;;551;MORT D&#39;UN COMMIS VOYAGEUR;3667;MORT D&#39;UN COMMIS VOYAGEUR;0001-03-16;2000-01-01 20:00:00 UTC;0001-03-16;2000-01-01 22:00:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491952;;838761;0002-06-15;;554;YO MATE A PINOCHET;3708;YO MATE A PINOCHET;0030-03-16;2000-01-01 20:00:00 UTC;0030-03-16;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;MOISSARD;CLAUDE;CLAUDE.MOISSARD@mail.fr;25 rue des Gyps fulvus;69005;France;66;
1491953;;838791;0002-06-15;;568;LA REINE DU CRIME;3768;LA REINE DU CRIME;0009-10-15;2000-01-01 20:00:00 UTC;0009-10-15;2000-01-01 21:30:00 UTC;27.0;0009-10-15;2000-01-01 19:49:52 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491954;;838791;0002-06-15;;568;LA REINE DU CRIME;3768;LA REINE DU CRIME;0009-10-15;2000-01-01 20:00:00 UTC;0009-10-15;2000-01-01 21:30:00 UTC;27.0;0009-10-15;2000-01-01 19:49:52 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491955;;838803;0002-06-15;;545;WAR SWEET WAR;3552;WAR SWEET WAR;0007-11-15;2000-01-01 20:00:00 UTC;0007-11-15;2000-01-01 21:40:00 UTC;27.0;0007-11-15;2000-01-01 19:44:37 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491956;;838803;0002-06-15;;545;WAR SWEET WAR;3552;WAR SWEET WAR;0007-11-15;2000-01-01 20:00:00 UTC;0007-11-15;2000-01-01 21:40:00 UTC;27.0;0007-11-15;2000-01-01 19:44:37 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491957;;838805;0002-06-15;;546;DREAMSPELL;3553;DREAMSPELL;0013-11-15;2000-01-01 20:00:00 UTC;0013-11-15;2000-01-01 22:00:00 UTC;27.0;0013-11-15;2000-01-01 19:47:01 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491958;;838805;0002-06-15;;546;DREAMSPELL;3553;DREAMSPELL;0013-11-15;2000-01-01 20:00:00 UTC;0013-11-15;2000-01-01 22:00:00 UTC;27.0;0013-11-15;2000-01-01 19:47:01 UTC;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491959;;838810;0002-06-15;;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;0011-12-15;2000-01-01 20:00:00 UTC;0011-12-15;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;CORBEILLE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491960;;838810;0002-06-15;;549;COMMENT VOUS RACONTEZ LA PARTIE?;3584;COMMENT VOUS RACONTEZ LA PARTIE?;0011-12-15;2000-01-01 20:00:00 UTC;0011-12-15;2000-01-01 21:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;CORBEILLE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491961;;838759;0002-06-15;;538;887;3590;887;0018-12-15;2000-01-01 20:00:00 UTC;0018-12-15;2000-01-01 21:15:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;CORBEILLE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491962;;838759;0002-06-15;;538;887;3590;887;0018-12-15;2000-01-01 20:00:00 UTC;0018-12-15;2000-01-01 21:15:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;CORBEILLE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491963;;838762;0002-06-15;;539;Sauterelles;3608;Sauterelles;0008-01-16;2000-01-01 20:00:00 UTC;0008-01-16;2000-01-01 22:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
1491964;;838762;0002-06-15;;539;Sauterelles;3608;Sauterelles;0008-01-16;2000-01-01 20:00:00 UTC;0008-01-16;2000-01-01 22:30:00 UTC;27.0;;;Abonnement mouettes;0;Abonnement;1er Serie;ORCHESTRE;GUICHET;CZERWIEC;Th??odore et Christel;Th??odore et Christel.CZERWIEC@mail.fr;5 rue Larus argentatus;69003;France;51;
